2,0.0011,0.1514,0.0012
3,0.0008,0.1106,0.0008
4,0.0014,0.1540,0.0014
5,0.0013,0.1630,0.0013
6,0.0013,0.1648,0.0013
7,0.0012,0.1442,0.0012
8,0.0011,0.1406,0.0012
9,0.0011,0.1424,0.0011
10,0.0013,0.1575,0.0013
11,0.0013,0.1543,0.0013
12,0.0012,0.1480,0.0012
13,0.0011,0.1459,0.0011
14,0.0012,0.1463,0.0012
15,0.0012,0.1624,0.0012
16,0.0020,0.1986,0.0020
17,0.0010,0.1406,0.0010
18,0.0013,0.1806,0.0013
19,0.0012,0.1726,0.0012
20,0.0014,0.1897,0.0014
21,0.0014,0.1651,0.0014
22,0.0010,0.1532,0.0010
23,0.0010,0.1433,0.0010
24,0.0011,0.1407,0.0011
25,0.0011,0.1591,0.0011
26,0.0012,0.1627,0.0012
27,0.0012,0.1444,0.0012
28,0.0010,0.1400,0.0010
29,0.0010,0.1487,0.0010
30,0.0011,0.1560,0.0011
31,0.0011,0.1397,0.0011
32,0.0013,0.1535,0.0013
33,0.0013,0.1457,0.0013
34,0.0010,0.1406,0.0010
35,0.0010,0.1266,0.0010
36,0.0010,0.1344,0.0010
37,0.0010,0.1508,0.0010
38,0.0011,0.1677,0.0011
39,0.0011,0.1444,0.0011
40,0.0013,0.1493,0.0013
41,0.0012,0.1563,0.0012
42,0.0011,0.1454,0.0011
43,0.0011,0.1683,0.0011
44,0.0012,0.1697,0.0012
45,0.0012,0.1545,0.0012
46,0.0010,0.1545,0.0010
47,0.0010,0.1317,0.0010
48,0.0011,0.1418,0.0011
49,0.0011,0.1557,0.0011
50,0.0012,0.1562,0.0012
51,0.0012,0.1384,0.0012
52,0.0011,0.1409,0.0011
53,0.0011,0.1448,0.0011
54,0.0011,0.1453,0.0011
55,0.0011,0.1442,0.0011
56,0.0011,0.1400,0.0011
57,0.0011,0.1486,0.0011
58,0.0011,0.1561,0.0011
59,0.0011,0.1399,0.0011
60,0.0011,0.1302,0.0011
61,0.0011,0.1322,0.0011
62,0.0011,0.1365,0.0011
63,0.0011,0.1310,0.0011
64,0.0011,0.1295,0.0011
65,0.0011,0.1589,0.0011
66,0.0010,0.1522,0.0010
67,0.0010,0.1259,0.0010
68,0.0010,0.1211,0.0010
69,0.0010,0.1429,0.0010
70,0.0012,0.1608,0.0012
71,0.0011,0.1564,0.0011
72,0.0010,0.1405,0.0010
73,0.0011,0.1253,0.0011
74,0.0011,0.1262,0.0011
75,0.0011,0.1387,0.0011
76,0.0011,0.1457,0.0011
77,0.0012,0.1437,0.0012
78,0.0010,0.1304,0.0010
79,0.0010,0.1491,0.0010
80,0.0011,0.1575,0.0011
81,0.0011,0.1523,0.0011
82,0.0010,0.1448,0.0010
83,0.0010,0.1396,0.0010
84,0.0011,0.1441,0.0011
85,0.0011,0.1304,0.0011
86,0.0011,0.1321,0.0011
87,0.0011,0.1379,0.0011
88,0.0010,0.1265,0.0010
89,0.0010,0.1256,0.0010
90,0.0010,0.1400,0.0010
91,0.0010,0.1325,0.0010
92,0.0011,0.1343,0.0011
93,0.0011,0.1682,0.0011
94,0.0010,0.1648,0.0010
95,0.0010,0.1416,0.0010
96,0.0011,0.1532,0.0011
97,0.0011,0.1487,0.0011
98,0.0010,0.1355,0.0010
99,0.0010,0.1438,0.0010
2,0.0016,0.2609,0.0016
3,0.0011,0.1855,0.0011
4,0.0011,0.1649,0.0011
